date,description,amount,category
2026-01-25,DELIVEROO *  * ORDER *  * LONDON *  * REF *  * 385208,-24.82,eating_out
2026-02-15,NEXT RETAIL REF 534320,-87.83,shopping
2026-06-14,SPOTIFY UK OXFORD ST CARD PAYMENT,-21.94,subscriptions
2026-01-12,VISION EXPRESS REF 105574 CARD PAYMENT,-79.12,health_fitness
2026-02-23,REFUND * AMAZON * REF * 143732,2006.02,income
2026-03-19,UBER  TRIP  HELP.UBER.COM  REF  982284,-71.69,transport
2026-01-27,SAINSBURYS LOCAL OXFORD ST,-29.71,groceries
2026-06-02,AMAZON PRIME UK MANCHESTER,-10.02,subscriptions
2026-05-17,FREELANCE * PAYMENT * REF * 781765,1577.51,income
2026-02-16,MICROSOFT 365 VICTORIA,-26.54,subscriptions
2026-02-03,bonus payment camden,1245.9,income
2026-03-25,freelance payment ref 776584,830.03,income
2026-03-07,h&m clothing ref 88275,-119.0,shopping
2026-02-23,O2  MOBILE  BILL  MANCHESTER  REF  142081,-57.53,bills
2026-02-15,freelance payment victoria ref 229981 card payment,1125.63,income
2026-02-15,SPOTIFY UK BIRMINGHAM REF 213177,-18.95,subscriptions
2026-03-28,SAINSBURYS LOCAL VICTORIA,-41.71,groceries
2026-06-04,MORRISONS OXFORD ST REF 100096,-91.9,groceries
2026-06-24,BP FUEL LONDON CARD PAYMENT,-29.31,transport
2026-06-17,AMAZON PRIME UK BIRMINGHAM,-27.19,subscriptions
2026-01-28,VIRGIN  MEDIA  BILL  VICTORIA  REF  180098,-87.88,bills
2026-01-14,sky store movie camden card payment,-57.36,entertainment
2026-05-28,ALDI STORE,-38.59,groceries
2026-03-16,amazon *  * prime *  * uk *  * victoria,-3.1,subscriptions
2026-03-04,tesco store london oxford st ref 999243,-10.13,groceries
2026-05-08,DELIVEROO ORDER VICTORIA,-15.38,eating_out
2026-03-08,COUNCIL TAX PAYMENT MANCHESTER REF 723106,-156.41,bills
2026-03-14,SALARY PAYMENT REF 553953,1931.38,income
2026-02-13,SHELL PETROL STATION MANCHESTER,-52.34,transport
2026-01-26,BANK TRANSFER RECEIVED,1128.18,income
2026-02-20,INTEREST PAID BIRMINGHAM CARD PAYMENT,148.82,income
2026-06-27,ARGOS BIRMINGHAM REF 100346,-155.86,shopping
2026-06-04,NETFLIX.COM,-25.13,subscriptions
2026-02-11,DISNEY  PLUS  REF  394580,-21.24,subscriptions
2026-02-11,disney *  * plus *  * ref *  * 620489,-18.06,subscriptions
2026-05-15,UBER EATS BIRMINGHAM REF 163062,-46.07,eating_out
2026-01-20,boots pharmacy online card payment,-76.57,health_fitness
2026-03-05,JOHN LEWIS ONLINE ONLINE,-32.29,shopping
2026-01-15,ASDA  GROCERIES CARD PAYMENT,-31.9,groceries
2026-04-22,GO APE ACTIVITY BIRMINGHAM,-63.58,entertainment
2026-04-09,NEXT RETAIL CAMDEN,-25.07,shopping
2026-03-07,JOHN *  * LEWIS *  * ONLINE *  * MANCHESTER *  * REF *  * 748948,-105.6,shopping
2026-02-26,DELIVEROO ORDER CARD PAYMENT,-28.5,eating_out
2026-01-27,BOOTS UK UK CARD PAYMENT,-99.83,shopping
2026-04-23,ARGOS * REF * 786043,-117.04,shopping
2026-06-30,PRET * A * MANGER * OXFORD * ST * CARD * PAYMENT,-51.54,eating_out
2026-05-30,EDF * ENERGY * BILL,-52.86,bills
2026-06-25,ee mobile ref 39328,-169.51,bills
2026-02-10,WAGAMAMA  ONLINE  REF  204129 CARD PAYMENT,-34.35,eating_out
2026-03-22,asda  groceries  ref  274903,-45.81,groceries
2026-03-27,vision express camden ref 843362,-46.71,health_fitness
2026-06-13,NEXT RETAIL REF 649388,-10.47,shopping
2026-01-15,BP  FUEL CARD PAYMENT,-57.32,transport
2026-04-19,STARBUCKS COFFEE MANCHESTER,-38.35,eating_out
2026-01-31,vision  express  camden  ref  336671 card payment,-36.56,health_fitness
2026-02-06,BRITISH * GAS * OXFORD * ST * REF * 40704,-132.03,bills
2026-05-15,NEXT  RETAIL  REF  196760,-53.67,shopping
2026-03-13,holland  and  barrett card payment,-22.04,health_fitness
2026-05-19,ALDI  STORE  REF  251867 CARD PAYMENT,-35.81,groceries
2026-06-03,freelance payment uk,276.17,income
2026-02-23,THEATRE TICKETS UK REF 215393,-54.57,entertainment
2026-04-13,SPOTIFY  UK  VICTORIA,-5.19,subscriptions
2026-03-11,NATIONAL RAIL TICKET CARD PAYMENT,-43.47,transport
2026-03-06,STEAM *  * GAMES *  * ONLINE,-33.22,entertainment
2026-06-14,cashback * reward * camden,2515.43,income
2026-01-12,starbucks  coffee  oxford  st,-11.13,eating_out
2026-05-17,GO  APE  ACTIVITY CARD PAYMENT,-76.19,entertainment
2026-06-21,tesco store london,-38.91,groceries
2026-03-08,PUREGYM MEMBERSHIP BIRMINGHAM REF 12395,-86.81,health_fitness
2026-03-26,bonus  payment  london,724.96,income
2026-03-24,SPOTIFY  UK  LONDON  REF  1716,-6.97,subscriptions
2026-02-12,TESCO * STORE * LONDON,-90.38,groceries
2026-05-09,vision * express * card * payment,-22.89,health_fitness
2026-01-08,morrisons uk ref 147316,-44.71,groceries
2026-06-09,AMAZON * MARKETPLACE * REF * 252815,-129.85,shopping
2026-03-25,WAITROSE *  * SUPERMARKET *  * REF *  * 450433,-26.41,groceries
2026-01-02,AMAZON *  * MARKETPLACE *  * VICTORIA,-101.32,shopping
2026-05-03,ODEON CINEMA LONDON REF 859311 CARD PAYMENT,-26.04,entertainment
2026-05-09,ALDI *  * STORE *  * UK *  * REF *  * 126812,-69.22,groceries
2026-04-16,NETFLIX.COM UK REF 563146,-23.14,subscriptions
2026-03-31,BONUS  PAYMENT  REF  833192,2223.41,income
2026-03-08,SPOTIFY  UK  OXFORD  ST  REF  77806,-8.37,subscriptions
2026-01-22,NANDOS  LONDON  BIRMINGHAM  REF  275516,-43.48,eating_out
2026-05-11,BRITISH GAS,-119.78,bills
2026-05-20,STEAM  GAMES  ONLINE,-13.02,entertainment
2026-02-14,BRITISH GAS REF 117968,-82.31,bills
2026-06-20,shell petrol station oxford st,-20.87,transport
2026-05-07,BOOTS  PHARMACY  BIRMINGHAM  REF  505967 CARD PAYMENT,-58.71,health_fitness
2026-05-27,BONUS  PAYMENT  ONLINE  REF  997109 CARD PAYMENT,1488.35,income
2026-03-14,UBER  EATS  BIRMINGHAM  REF  411396,-50.75,eating_out
2026-06-09,FREELANCE  PAYMENT  MANCHESTER CARD PAYMENT,2525.07,income
2026-01-24,EE  MOBILE  CAMDEN  REF  473788,-161.8,bills
2026-05-29,STARBUCKS  COFFEE  REF  351067,-55.77,eating_out
2026-05-31,HOLLAND AND BARRETT LONDON CARD PAYMENT,-90.44,health_fitness
2026-01-14,THEATRE * TICKETS * REF * 714965,-18.94,entertainment
2026-02-22,BOWLING * LONDON,-7.71,entertainment
2026-06-23,PRET * A * MANGER * REF * 522292,-24.58,eating_out
2026-04-14,DELIVEROO *  * ORDER *  * REF *  * 561333,-32.07,eating_out
2026-01-12,ASDA GROCERIES REF 67287,-18.15,groceries
2026-04-27,vision express uk card payment,-43.2,health_fitness
2026-04-27,STEAM GAMES MANCHESTER REF 530558,-99.49,entertainment
2026-06-27,ASDA GROCERIES CARD PAYMENT,-46.6,groceries
2026-04-30,VIRGIN  MEDIA  BILL  VICTORIA,-107.69,bills
2026-05-24,interest * paid * online * ref * 657764,317.43,income
2026-05-13,THEATRE *  * TICKETS *  * VICTORIA *  * REF *  * 854403,-14.31,entertainment
2026-03-28,BOOTS PHARMACY MANCHESTER REF 985191 CARD PAYMENT,-17.23,health_fitness
2026-01-03,REFUND * AMAZON * REF * 434732,764.01,income
2026-02-05,TFL  TRAVEL  CHARGE  REF  251161 CARD PAYMENT,-33.11,transport
2026-02-14,ASDA GROCERIES,-55.0,groceries
2026-06-08,WAITROSE * SUPERMARKET * CAMDEN * CARD * PAYMENT,-77.72,groceries
2026-03-14,PRET * A * MANGER * VICTORIA,-11.06,eating_out
2026-05-07,thames * water * online,-173.15,bills
2026-05-29,british gas birmingham ref 127215,-57.67,bills
2026-05-08,bp * fuel * uk * card * payment,-3.82,transport
2026-04-13,MORRISONS,-79.99,groceries
2026-02-22,BOWLING LONDON MANCHESTER REF 897086,-9.66,entertainment
2026-02-09,h&m  clothing  victoria,-131.53,shopping
2026-01-02,PUREGYM *  * MEMBERSHIP *  * OXFORD *  * ST * CARD * PAYMENT,-71.21,health_fitness
2026-05-19,UBER  TRIP  HELP.UBER.COM  CAMDEN,-51.75,transport
2026-01-25,ticketmaster *  * uk *  * manchester,-53.15,entertainment
2026-04-11,UBER * EATS * REF * 523307,-45.52,eating_out
2026-01-20,SPOTIFY UK MANCHESTER CARD PAYMENT,-26.82,subscriptions
2026-05-29,DELIVEROO ORDER REF 624861,-34.45,eating_out
2026-05-23,SPORTS * MASSAGE * CLINIC * CARD * PAYMENT,-6.97,health_fitness
2026-03-20,HOLLAND * AND * BARRETT * VICTORIA,-23.88,health_fitness
2026-04-21,nandos london victoria ref 275375,-50.6,eating_out
2026-02-10,EE  MOBILE  REF  202898,-67.26,bills
2026-01-19,shell  petrol  station  victoria card payment,-18.69,transport
2026-01-06,TESCO * STORE * LONDON * ONLINE,-63.64,groceries
2026-05-07,O2  MOBILE  BILL  UK CARD PAYMENT,-83.73,bills
2026-06-13,REFUND  AMAZON  VICTORIA  REF  188480,1332.38,income
2026-03-26,FREELANCE * PAYMENT,2187.36,income
2026-04-21,INTEREST *  * PAID *  * REF *  * 416461 * CARD * PAYMENT,1900.6,income
2026-03-31,freelance  payment  birmingham  ref  191407,386.33,income
2026-05-25,SKY STORE MOVIE MANCHESTER REF 309515,-98.4,entertainment
2026-05-07,CASHBACK REWARD MANCHESTER REF 236745 CARD PAYMENT,825.0,income
2026-05-14,WAGAMAMA CARD PAYMENT,-28.18,eating_out
2026-04-29,council tax payment uk ref 706893,-120.12,bills
2026-04-03,INTEREST  PAID  UK,2218.48,income
2026-03-28,ALDI * STORE * LONDON,-74.33,groceries
2026-06-14,AMAZON * PRIME * UK * VICTORIA,-14.48,subscriptions
2026-06-17,TFL  TRAVEL  CHARGE  OXFORD  ST  REF  794547,-10.37,transport
2026-06-25,PRET A MANGER OXFORD ST REF 311997,-52.46,eating_out
2026-02-04,TFL  TRAVEL  CHARGE  MANCHESTER,-67.03,transport
2026-05-05,AUDIBLE UK REF 438017 CARD PAYMENT,-13.4,subscriptions
2026-02-05,BP FUEL BIRMINGHAM REF 564483,-38.25,transport
2026-05-18,UBER TRIP HELP.UBER.COM REF 478079,-36.9,transport
2026-05-02,h&m clothing london ref 205899,-38.4,shopping
2026-05-20,AUDIBLE UK,-23.14,subscriptions
2026-06-06,pret a manger ref 180517 card payment,-52.47,eating_out
2026-01-01,apple icloud,-20.45,subscriptions
2026-04-11,ARGOS BIRMINGHAM,-123.66,shopping
2026-01-07,ZARA ONLINE REF 49045,-139.89,shopping
2026-05-05,NANDOS * LONDON * BIRMINGHAM * REF * 829028,-62.79,eating_out
2026-04-29,PRET A MANGER ONLINE REF 556953,-34.96,eating_out
2026-03-19,UBER TRIP HELP.UBER.COM UK REF 961911,-26.09,transport
2026-06-25,DISNEY PLUS REF 870005,-28.31,subscriptions
2026-04-03,NATIONAL RAIL TICKET REF 305466,-48.91,transport
2026-03-12,EE MOBILE OXFORD ST,-163.59,bills
2026-02-02,INTEREST  PAID  MANCHESTER,1617.13,income
2026-01-10,odeon cinema ref 936825,-31.3,entertainment
2026-06-30,BANK TRANSFER RECEIVED REF 429645,63.34,income
2026-05-09,HOLLAND  AND  BARRETT  BIRMINGHAM,-15.84,health_fitness
2026-01-22,go ape activity manchester ref 31237,-94.35,entertainment
2026-05-26,BP FUEL,-52.84,transport
2026-03-18,ZIPCAR UK OXFORD ST REF 564356 CARD PAYMENT,-57.44,transport
2026-02-28,TESCO  STORE  LONDON  LONDON,-77.2,groceries
2026-01-10,UBER EATS BIRMINGHAM REF 258516,-29.74,eating_out
2026-04-08,aldi store uk ref 700287,-44.58,groceries
2026-04-22,NANDOS LONDON,-56.02,eating_out
2026-03-09,DISNEY  PLUS  REF  681027,-25.38,subscriptions
2026-06-27,VIRGIN  MEDIA  BILL  VICTORIA,-50.96,bills
2026-02-07,HOLLAND AND BARRETT MANCHESTER REF 339355 CARD PAYMENT,-47.74,health_fitness
2026-03-04,BONUS *  * PAYMENT *  * MANCHESTER *  * REF *  * 431309,2929.48,income
2026-06-02,THAMES  WATER  REF  194720,-119.92,bills
2026-01-12,DELIVEROO  ORDER  BIRMINGHAM CARD PAYMENT,-37.61,eating_out
2026-06-20,EE  MOBILE  UK  REF  982658,-132.29,bills
2026-03-04,HOLLAND * AND * BARRETT * CAMDEN * REF * 276594,-11.56,health_fitness
2026-05-14,CASHBACK REWARD,893.01,income
2026-01-06,ODEON  CINEMA,-58.8,entertainment
2026-02-23,bank transfer received birmingham card payment,2603.26,income
2026-06-02,ALDI  STORE  MANCHESTER,-42.1,groceries
2026-03-08,GO  APE  ACTIVITY  REF  810289,-49.65,entertainment
2026-01-22,SPORTS MASSAGE CLINIC VICTORIA REF 222766,-78.1,health_fitness
2026-03-08,BP FUEL REF 251956,-28.87,transport
2026-05-22,ODEON CINEMA REF 820800,-82.48,entertainment
2026-02-02,bonus  payment  birmingham,2416.57,income
2026-01-19,EDF ENERGY BILL CAMDEN,-118.92,bills
2026-05-17,TFL TRAVEL CHARGE VICTORIA REF 648847,-4.13,transport
2026-03-17,WAGAMAMA  VICTORIA,-43.48,eating_out
2026-01-13,morrisons  ref  312120 card payment,-35.28,groceries
2026-02-05,THAMES  WATER  MANCHESTER,-46.05,bills
2026-01-14,puregym membership uk ref 989805,-9.7,health_fitness
2026-02-02,BANK TRANSFER RECEIVED REF 899541,2709.13,income
2026-03-12,puregym * membership * oxford * st * ref * 681129,-25.31,health_fitness
2026-04-30,UBER EATS OXFORD ST REF 653179,-34.02,eating_out
2026-01-22,LIDL * GB * REF * 328704,-13.84,groceries
2026-03-22,NEXT RETAIL UK,-143.52,shopping
2026-04-17,bonus payment birmingham ref 366603 card payment,1429.69,income
2026-05-22,FREELANCE *  * PAYMENT *  * VICTORIA,1360.43,income
2026-06-25,ALDI STORE OXFORD ST,-28.43,groceries
2026-05-04,BRITISH GAS MANCHESTER,-109.93,bills
2026-03-11,national rail ticket victoria ref 790882,-50.21,transport
2026-03-03,UBER EATS OXFORD ST REF 680658 CARD PAYMENT,-63.86,eating_out
2026-04-02,H&M * CLOTHING * OXFORD * ST * CARD * PAYMENT,-148.21,shopping
2026-05-27,BRITISH GAS MANCHESTER REF 438211 CARD PAYMENT,-133.48,bills
2026-04-05,VISION  EXPRESS  BIRMINGHAM,-78.51,health_fitness
2026-03-02,GO  APE  ACTIVITY  REF  698576,-108.04,entertainment
2026-06-15,FREELANCE * PAYMENT * OXFORD * ST * REF * 452266,683.79,income
2026-04-11,edf energy bill,-91.95,bills
2026-05-31,SAINSBURYS LOCAL CAMDEN CARD PAYMENT,-46.52,groceries
2026-01-15,MICROSOFT * 365 * UK * REF * 746635,-8.73,subscriptions
2026-06-14,SPORTS MASSAGE CLINIC CAMDEN REF 735169 CARD PAYMENT,-63.63,health_fitness
2026-05-17,REFUND AMAZON REF 438350,1822.9,income
2026-02-23,bowling london ref 339480,-104.23,entertainment
2026-01-28,MICROSOFT 365 REF 920123,-3.34,subscriptions
2026-02-21,APPLE ICLOUD REF 120550,-25.28,subscriptions
2026-06-13,ALDI STORE BIRMINGHAM REF 914141,-28.2,groceries
2026-01-26,ODEON CINEMA MANCHESTER CARD PAYMENT,-73.03,entertainment
2026-06-20,UBER TRIP HELP.UBER.COM MANCHESTER REF 943333,-74.03,transport
2026-06-28,DENTAL * PRACTICE * LONDON * REF * 431250,-33.1,health_fitness
2026-06-25,go * ape * activity * manchester,-58.23,entertainment
2026-05-29,TRAINLINE OXFORD ST REF 18031 CARD PAYMENT,-10.46,transport
2026-03-28,SAINSBURYS  LOCAL  UK,-11.28,groceries
2026-05-03,sainsburys local victoria ref 13861,-12.47,groceries
2026-05-02,MORRISONS  VICTORIA  REF  19080 CARD PAYMENT,-58.6,groceries
2026-02-21,thames * water,-151.82,bills
2026-01-02,ODEON * CINEMA * REF * 327584,-67.87,entertainment
2026-04-23,BOWLING * LONDON * CAMDEN * REF * 128131,-60.07,entertainment
2026-05-09,boots pharmacy card payment,-108.12,health_fitness
2026-01-30,STEAM  GAMES  UK,-38.06,entertainment
2026-01-01,THEATRE  TICKETS  LONDON,-22.36,entertainment
2026-03-13,O2  MOBILE  BILL  REF  509307,-45.54,bills
2026-01-01,SPORTS MASSAGE CLINIC MANCHESTER REF 788195,-28.8,health_fitness
2026-06-15,next retail online ref 955521,-23.67,shopping
2026-03-12,refund amazon card payment,2890.26,income
2026-05-08,DELIVEROO ORDER REF 471211 CARD PAYMENT,-28.68,eating_out
2026-05-22,UBER TRIP HELP.UBER.COM,-17.02,transport
2026-02-16,steam games manchester ref 596772 card payment,-101.39,entertainment
2026-06-27,john * lewis * online * manchester * card * payment,-56.99,shopping
2026-06-10,BOOTS *  * UK *  * REF *  * 597236,-33.69,shopping
2026-03-22,WAITROSE SUPERMARKET LONDON,-25.77,groceries
2026-01-25,THAMES * WATER * REF * 977080,-75.43,bills
2026-04-15,amazon * prime * uk * uk * ref * 393052 * card * payment,-22.07,subscriptions
2026-03-02,amazon  prime  uk,-22.87,subscriptions
2026-04-20,ARGOS REF 739857 CARD PAYMENT,-56.33,shopping
2026-06-22,PRET A MANGER REF 225411,-15.29,eating_out
2026-03-27,zara online oxford st ref 657403 card payment,-129.58,shopping
2026-06-19,EE  MOBILE  REF  857721,-142.35,bills
2026-02-16,BOOTS PHARMACY VICTORIA REF 807824 CARD PAYMENT,-54.26,health_fitness
2026-06-01,MORRISONS,-86.9,groceries
2026-02-15,boots pharmacy ref 598329,-23.74,health_fitness
2026-02-02,INTEREST PAID REF 644416 CARD PAYMENT,1715.86,income
2026-04-12,NETFLIX.COM  VICTORIA  REF  27985,-5.23,subscriptions
2026-02-27,VISION EXPRESS MANCHESTER REF 253207,-89.05,health_fitness
2026-06-23,PRET  A  MANGER  OXFORD  ST CARD PAYMENT,-31.96,eating_out
2026-03-10,DENTAL PRACTICE,-63.37,health_fitness
2026-03-27,national rail ticket uk ref 134096,-67.79,transport
2026-01-21,SALARY PAYMENT MANCHESTER,1615.5,income
2026-01-29,ZARA ONLINE LONDON REF 275505 CARD PAYMENT,-128.11,shopping
2026-06-30,AMAZON  MARKETPLACE  ONLINE  REF  708901,-51.17,shopping
2026-02-06,STEAM GAMES UK,-79.89,entertainment
2026-01-22,THAMES * WATER * MANCHESTER * REF * 983299,-143.57,bills
2026-06-16,SHELL *  * PETROL *  * STATION,-3.61,transport
2026-03-01,TESCO STORE LONDON REF 133040 CARD PAYMENT,-59.02,groceries
2026-04-07,GO APE ACTIVITY REF 393505,-78.37,entertainment
2026-05-09,VIRGIN MEDIA BILL UK REF 787609 CARD PAYMENT,-108.82,bills
2026-04-18,NANDOS * LONDON * LONDON,-22.37,eating_out
2026-03-17,NATIONAL  RAIL  TICKET  REF  841064,-15.99,transport
2026-05-10,wagamama manchester,-38.31,eating_out
2026-02-15,FREELANCE PAYMENT BIRMINGHAM REF 995908 CARD PAYMENT,1714.38,income
2026-05-05,HOLLAND AND BARRETT,-116.74,health_fitness
2026-02-08,INTEREST PAID BIRMINGHAM REF 106002,2792.29,income
2026-06-06,SALARY PAYMENT UK REF 810142,378.97,income
2026-02-18,BOOTS * UK * VICTORIA * REF * 590448 * CARD * PAYMENT,-33.21,shopping
2026-06-21,NETFLIX.COM OXFORD ST REF 911512,-29.38,subscriptions
2026-01-08,BOWLING LONDON CARD PAYMENT,-84.26,entertainment
2026-01-18,APPLE ICLOUD BIRMINGHAM CARD PAYMENT,-18.7,subscriptions
2026-02-17,DELIVEROO ORDER UK,-58.97,eating_out
2026-04-02,salary payment ref 259182 card payment,1215.83,income
2026-04-27,BANK TRANSFER RECEIVED REF 354491,1845.49,income
2026-03-27,VISION  EXPRESS  REF  495988,-61.5,health_fitness
2026-06-25,BOOTS PHARMACY ONLINE REF 448883,-83.71,health_fitness
2026-04-17,shell petrol station online,-12.5,transport
2026-06-08,GO APE ACTIVITY LONDON REF 126961 CARD PAYMENT,-98.79,entertainment
2026-06-23,MICROSOFT  365  ONLINE CARD PAYMENT,-16.38,subscriptions
2026-03-17,ALDI  STORE,-37.6,groceries
2026-06-04,disney plus,-20.46,subscriptions
2026-04-17,netflix.com online ref 976402 card payment,-11.46,subscriptions
2026-02-06,bp fuel ref 26755,-62.85,transport
2026-04-28,INTEREST  PAID  VICTORIA,1573.06,income
2026-03-13,british gas,-111.02,bills
2026-06-04,british *  * gas *  * online *  * ref *  * 156457,-114.6,bills
2026-01-22,BOWLING LONDON CAMDEN REF 701157 CARD PAYMENT,-81.54,entertainment
2026-03-17,DENTAL  PRACTICE,-99.19,health_fitness
2026-04-26,NETFLIX.COM BIRMINGHAM REF 274668,-11.14,subscriptions
2026-02-25,asda groceries birmingham card payment,-72.91,groceries
2026-04-29,AMAZON MARKETPLACE,-108.78,shopping
2026-01-12,CAFFE  NERO  REF  382884,-50.26,eating_out
2026-04-06,BONUS PAYMENT VICTORIA CARD PAYMENT,182.14,income
2026-05-18,NANDOS LONDON MANCHESTER REF 607217,-14.48,eating_out
2026-05-30,refund amazon london card payment,2567.45,income
2026-03-19,EE  MOBILE CARD PAYMENT,-153.57,bills
2026-06-29,REFUND AMAZON REF 378898,905.58,income
2026-06-04,SPOTIFY UK LONDON,-2.91,subscriptions
2026-03-07,O2  MOBILE  BILL  CAMDEN CARD PAYMENT,-110.29,bills
2026-02-20,GO APE ACTIVITY,-43.02,entertainment
2026-02-05,ZIPCAR * UK * BIRMINGHAM * REF * 241068,-66.43,transport
2026-06-16,TESCO STORE LONDON CAMDEN REF 248231 CARD PAYMENT,-16.62,groceries
2026-03-09,go  ape  activity  ref  456416,-48.91,entertainment
2026-02-16,VIRGIN MEDIA BILL,-41.14,bills
2026-06-20,WAGAMAMA ONLINE REF 333006,-47.14,eating_out
2026-04-04,AUDIBLE UK CAMDEN REF 236217 CARD PAYMENT,-6.73,subscriptions
2026-04-22,SPOTIFY * UK * VICTORIA * REF * 176284,-29.67,subscriptions
2026-02-07,holland and barrett,-108.1,health_fitness
2026-04-04,THEATRE TICKETS LONDON REF 705633,-66.62,entertainment
2026-03-13,FREELANCE PAYMENT,2596.18,income
2026-05-11,ZARA * ONLINE * OXFORD * ST * CARD * PAYMENT,-77.34,shopping
2026-01-02,SPORTS  MASSAGE  CLINIC  REF  179458,-66.82,health_fitness
2026-06-12,asda  groceries  oxford  st  ref  679998,-91.59,groceries
2026-03-15,TICKETMASTER  UK  BIRMINGHAM,-68.58,entertainment
2026-06-04,aldi store victoria ref 296459,-25.37,groceries
2026-01-22,uber trip help.uber.com,-22.94,transport
2026-05-12,bonus payment ref 674437,1587.55,income
2026-01-08,BONUS PAYMENT OXFORD ST REF 785346,2025.13,income
2026-03-27,O2  MOBILE  BILL  CAMDEN  REF  172276,-94.73,bills
2026-05-24,h&m clothing ref 842363,-111.63,shopping
2026-05-01,CASHBACK REWARD MANCHESTER,1710.07,income
2026-01-04,NANDOS LONDON ONLINE REF 899602,-32.23,eating_out
2026-06-06,VIRGIN  MEDIA  BILL  CAMDEN CARD PAYMENT,-148.99,bills
2026-06-28,H&M CLOTHING VICTORIA,-36.58,shopping
2026-06-06,COUNCIL TAX PAYMENT OXFORD ST,-150.24,bills
2026-01-23,vision * express * uk,-101.28,health_fitness
2026-02-26,UBER *  * EATS *  * OXFORD *  * ST *  * REF *  * 458420,-18.16,eating_out
2026-04-24,UBER EATS,-48.44,eating_out
2026-02-23,FREELANCE  PAYMENT  REF  10724 CARD PAYMENT,188.24,income
2026-05-18,STEAM *  * GAMES *  * CAMDEN * CARD * PAYMENT,-84.02,entertainment
2026-04-09,ARGOS,-19.56,shopping
2026-02-17,THAMES WATER LONDON REF 722568 CARD PAYMENT,-125.68,bills
2026-01-03,VISION EXPRESS MANCHESTER REF 94296,-30.96,health_fitness
2026-04-17,dental practice camden ref 560380 card payment,-15.94,health_fitness
2026-04-12,O2 *  * MOBILE *  * BILL,-115.63,bills
2026-03-16,PHARMACY * PRESCRIPTION * VICTORIA * CARD * PAYMENT,-70.24,health_fitness
2026-05-14,ZARA ONLINE MANCHESTER REF 280005 CARD PAYMENT,-24.53,shopping
2026-01-18,NATIONAL * RAIL * TICKET * VICTORIA,-35.58,transport
2026-02-25,theatre tickets victoria,-33.13,entertainment
2026-04-04,PRET  A  MANGER  OXFORD  ST,-10.77,eating_out
2026-04-18,H&M  CLOTHING  OXFORD  ST  REF  181172,-29.37,shopping
2026-04-29,VISION EXPRESS BIRMINGHAM REF 835739,-22.43,health_fitness
2026-03-26,TFL *  * TRAVEL *  * CHARGE *  * CAMDEN * CARD * PAYMENT,-34.24,transport
2026-02-19,BRITISH GAS MANCHESTER REF 613553,-116.25,bills
2026-03-15,THEATRE TICKETS CAMDEN,-99.17,entertainment
2026-04-26,SALARY PAYMENT MANCHESTER REF 744527 CARD PAYMENT,1336.79,income
2026-03-29,SALARY PAYMENT CAMDEN,419.84,income
2026-03-16,uber  trip  help.uber.com  birmingham,-56.93,transport
2026-01-11,NANDOS  LONDON  ONLINE  REF  494090,-60.56,eating_out
2026-04-14,AUDIBLE  UK  OXFORD  ST,-6.82,subscriptions
2026-03-09,O2  MOBILE  BILL  REF  819656,-34.31,bills
2026-06-14,NETFLIX.COM BIRMINGHAM CARD PAYMENT,-10.55,subscriptions
2026-04-02,virgin  media  bill,-111.8,bills
2026-06-07,zipcar uk uk,-41.63,transport
2026-02-09,SPORTS MASSAGE CLINIC REF 748385,-13.62,health_fitness
2026-01-31,STARBUCKS COFFEE,-46.35,eating_out
2026-01-13,SKY *  * STORE *  * MOVIE *  * UK,-92.58,entertainment
2026-05-22,ZIPCAR  UK  CAMDEN,-19.43,transport
2026-03-28,REFUND AMAZON UK REF 911055,760.72,income
2026-06-10,ODEON  CINEMA  ONLINE  REF  859285,-61.28,entertainment
2026-01-29,shell petrol station ref 558772 card payment,-16.57,transport
2026-01-28,NATIONAL RAIL TICKET LONDON,-60.33,transport
2026-01-30,MICROSOFT 365 BIRMINGHAM REF 380818,-11.25,subscriptions
2026-06-06,bowling london ref 795133,-104.54,entertainment
2026-01-26,VIRGIN MEDIA BILL REF 896825,-131.33,bills
2026-05-27,TESCO  STORE  LONDON  LONDON CARD PAYMENT,-19.51,groceries
2026-02-05,SKY  STORE  MOVIE,-26.37,entertainment
2026-01-11,VIRGIN MEDIA BILL OXFORD ST CARD PAYMENT,-45.88,bills
2026-05-29,REFUND * AMAZON * VICTORIA * REF * 216621,1522.58,income
2026-05-23,AUDIBLE  UK  MANCHESTER  REF  762949,-25.49,subscriptions
2026-03-31,ALDI *  * STORE *  * OXFORD *  * ST *  * REF *  * 817964,-86.82,groceries
2026-01-04,wagamama camden card payment,-38.6,eating_out
2026-03-26,APPLE ICLOUD ONLINE,-25.64,subscriptions
2026-06-21,BANK * TRANSFER * RECEIVED * REF * 648553 * CARD * PAYMENT,2896.07,income
2026-04-01,THEATRE TICKETS OXFORD ST,-9.75,entertainment
2026-04-18,THEATRE TICKETS CAMDEN REF 370082 CARD PAYMENT,-29.19,entertainment
2026-04-28,dental  practice  oxford  st  ref  310967,-25.61,health_fitness
2026-06-17,asda * groceries * card * payment,-60.41,groceries
2026-04-16,STARBUCKS * COFFEE * CAMDEN * REF * 710731 * CARD * PAYMENT,-18.46,eating_out
2026-05-20,sports  massage  clinic  oxford  st  ref  98795 card payment,-76.08,health_fitness
2026-03-24,STARBUCKS COFFEE VICTORIA,-50.41,eating_out
